Longitude (x),Latitude (y),Flux (gm-2d-1),Geothermal_Gradient_C_deg_km,Bouguer_Anomaly_mGal,Heat_Flow_mW_m2,Annual_Mean_Temperature_C,Soil_Organic_Carbon_ton_ha,Soil_pH_H2O,Elevation_m,faults_distance_km,geological_province_prov_type,mineralization_distance_km,mineralization_TipoMinera,volcano_distance_km,mineral_commodity_distance_km,Slip_type_general_Id,mineral_commodity_group,Available_Water_Storage_mm/m,Tree_Cover_Percentage,Porosity,Permeability_permafrost,PGA_Mean,Lithology,CO2_1000hPa,CO_1000hPa,Geopotential_1000hPa,Flux_CO2_GPP,Total_Column_CO2,Geopotential_Sup_Avg
102.3,29.1,93.84,28.57107,-205.61984,64.690002,4.4034719,72.708626,6.25,2350.8828,87.03788996972324,craton,52.358595282914685,phosphate,602.0345711834151,31.707520263373222,2.0,Minerales Industriales,150.0,44.75,0.01,-14.1,0.4577232778584849,Mixed sedimentary rocks,0.0006816457607783,2.899414539569989e-07,1903.1834716796875,1.408403704772354e-07,424.4418640136719,22298.54296875
102.2,29.03,125.46,28.57107,-227.7506,70.279999,0.7638889,81.654778,6.7,4032.7935,78.92069474825085,volcanic arc,53.312108380755085,ree,588.7187189142188,44.715565498517456,2.0,Minerales Industriales,100.0,4.28,0.01,-14.1,0.3088348645382405,Mixed sedimentary rocks,0.0006631716387346,2.205228213369992e-07,1674.9803466796875,1.2837145391131344e-07,423.2934265136719,33058.52734375
102.2,28.9,74.59,32.729389,-201.12297,74.199997,3.6506946,74.05735,6.7,2873.9717,85.39138714101021,volcanic arc,38.89402267703037,ree,578.4676368648455,52.21047261377748,2.0,Minerales Estratégicos y Tierras Raras,150.0,16.9,0.22,-13.0,0.3652983745951296,Mixed sedimentary rocks,0.0006683249957859,2.4090772399176785e-07,1586.9671630859375,1.278420427297533e-07,423.36737060546875,30758.53125
102.2,28.94,73.68,31.710056,-195.34673,74.199997,3.0041668,78.911232,6.7,3091.8813,83.18768511808753,volcanic arc,43.3295118827962,ree,581.6029282078961,52.62578109683696,2.0,Minerales Industriales,125.0,21.77777777777778,0.01,-14.1,0.3593174245776122,Mixed sedimentary rocks,0.0006683249957859,2.4090772399176785e-07,1586.9671630859375,1.278420427297533e-07,423.36737060546875,30758.53125
102.25,28.92,79.31,31.710056,-242.01614,73.364998,3.3319445,76.603004,6.7,2901.5972,89.12783420034005,craton,41.73134193870944,ree,583.9760531049187,50.94693864718927,2.0,Metales Base,150.0,38.91,0.01,-14.1,0.3999010172845803,Mixed sedimentary rocks,0.0006705860723741,2.63865445049305e-07,1633.2637939453125,1.3108088126045916e-07,423.22711181640625,30216.53125
102.24,28.87,54.28,31.710056,-236.57843,75.324997,3.1861112,82.87442,6.7,3050.6345,90.91460626275334,craton,36.0726281272193,ree,579.300907301204,49.55629184998122,2.0,Metales Base,150.0,36.21111111111111,0.01,-14.1,0.387799956387485,Mixed sedimentary rocks,0.0006683249957859,2.4090772399176785e-07,1586.9671630859375,1.278420427297533e-07,423.36737060546875,30758.53125
102.24,28.84,34.75,31.710056,-221.7332,75.324997,3.1631944,81.445831,6.7,3003.73,88.98789889053126,craton,32.798783514097664,ree,576.983295858726,47.58719516230541,2.0,Compuestos Químicos y Subproductos,150.0,32.160493827160494,0.01,-14.1,0.4120967984333088,Mixed sedimentary rocks,0.0006747967563569,2.6677150799514493e-07,1527.3243408203125,1.388072519148409e-07,423.6051940917969,26928.533203125
102.25,28.81,114.6,33.087494,-202.68619,76.043327,3.9666672,68.914032,6.7,2742.5166,86.91315526411542,craton,29.79361676610389,ree,575.4779986237515,44.27993536597926,2.0,Compuestos Químicos y Subproductos,150.0,35.43333333333333,0.09,-13.0,0.4058046476499631,Mixed sedimentary rocks,0.0006705002742819,2.675229495707754e-07,1585.1390380859375,1.360035923880787e-07,423.2192687988281,28706.533203125
102.25,28.75,32.03,34.464928,-188.2756,77.3825,4.9993052,54.477871,6.25,2383.9866,81.63797929718625,craton,23.400854685363026,ree,570.8994490275837,39.308145140864994,2.0,Compuestos Químicos y Subproductos,150.0,11.27,0.19,-15.2,0.4000391059345297,Mixed sedimentary rocks,0.0006703487015329,2.713501601192547e-07,1593.8221435546875,1.1980868919181378e-07,423.154541015625,28876.533203125
102.25,28.67,272.22,34.464928,-190.37952,76.75,5.4631944,53.792694,6.7,2343.7446,74.94824217248798,craton,15.237532608840676,ree,564.8591400517467,33.60082745432487,2.0,Compuestos Químicos y Subproductos,150.0,12.32,0.19,-15.2,0.3805957499792518,Mixed sedimentary rocks,0.0006703487015329,2.713501601192547e-07,1593.8221435546875,1.1980868919181378e-07,423.154541015625,28876.533203125
102.24,28.6,37.09,34.13728,-178.63257,77.220001,5.4354167,54.282513,5.8,2332.3147,68.68146308870875,craton,8.388480196355697,ree,558.8108664834626,30.93632714165238,2.0,Compuestos Químicos y Subproductos,150.0,22.81111111111111,0.28,-10.9,0.3882820303174965,Mixed sedimentary rocks,0.0006760419346392,3.312433136670734e-07,1536.828857421875,1.2837629981277132e-07,423.49224853515625,24714.537109375
102.22,28.55,121.74,33.809631,-177.71181,76.43,6.1756949,53.434952,5.8,2194.3296,63.32770284701631,craton,4.070000000370143,ree,553.4527231841927,28.17941633451624,2.0,Minerales Estratégicos y Tierras Raras,150.0,16.22,0.28,-10.9,0.4649713273615888,Mixed sedimentary rocks,0.0006821032729931,3.663715233415133e-07,1550.364501953125,1.4623289246173957e-07,423.9064025878906,22856.541015625
102.21,28.47,81.89,33.809631,-152.50237,75.760002,6.7888889,51.07959,5.8,2083.627,57.023296403899785,craton,9.360341874215466,ree,546.7434551048581,22.175703928725707,2.0,Metales Base,150.0,11.1,0.09,-13.0,0.4328282903336633,Mixed sedimentary rocks,0.0006821032729931,3.663715233415133e-07,1550.364501953125,1.4623289246173957e-07,423.9064025878906,22856.541015625
102.22,28.38,40.46,32.667191,-177.74338,74.300003,6.9680557,50.643154,6.7,2025.0974,53.016562011728,craton,19.303932241981684,ree,541.0712050183399,15.045760111556827,2.0,Metales Base,150.0,18.33,0.01,-14.1,0.4339649024000345,Mixed sedimentary rocks,0.0006914946134202,3.709131135565258e-07,1579.0810546875,1.4411939730507586e-07,424.1301574707031,20466.546875
102.22,28.31,7.23,31.52475,-161.51901,72.839996,7.5368052,46.868477,5.8,1889.7588,50.23722097144922,craton,26.94910944730873,ree,536.082886128627,11.781328173619228,2.0,Metales Base,150.0,21.566666666666663,0.09,-13.0,0.4686567377477153,Mixed sedimentary rocks,0.0007043336518108,4.044542833980813e-07,1601.0341796875,1.435865186749652e-07,424.23260498046875,20442.546875
102.21,28.23,52.05,31.52475,-156.18906,72.790001,6.6534719,49.290474,5.8,2163.6646,47.30922907658977,craton,35.64311995325592,ree,529.6002984326936,12.725313478830234,2.0,Metales Base,150.0,16.41111111111111,0.09,-13.0,0.4817192169142237,Mixed sedimentary rocks,0.0006917995633557,3.4673331583690015e-07,1561.610107421875,1.3189162473281613e-07,423.7261047363281,21130.544921875
102.22,28.19,62.47,31.52475,-170.45425,72.790001,6.3513889,51.728092,6.7,2251.9805,48.090911640988224,craton,40.008896588760855,carbonatite,527.687975985808,16.41918307147186,2.0,Metales Base,150.0,14.944444444444445,0.19,-15.2,0.4761404215794875,Mixed sedimentary rocks,0.0006917995633557,3.4673331583690015e-07,1561.610107421875,1.3189162473281613e-07,423.7261047363281,21130.544921875
