Longitude (x),Latitude (y),Geothermal_Gradient_C_deg_km,Bouguer_Anomaly_mGal,Heat_Flow_mW_m2,Annual_Mean_Temperature_C,Soil_Organic_Carbon_ton_ha,Soil_pH_H2O,Available_Water_Storage_mm_m,Elevation_m,faults_distance_km,geological_province_prov_type,mineralization_distance_km,mineralization_TipoMinera,volcano_distance_km,mineral_commodity_distance_km,Slip_type_general_Id,mineral_commodity_group,Tree_Cover_Percentage,Porosity,Permeability_permafrost,PGA_Mean,Lithology,tcco2_column,nuevos1_co2_1000hPa,nuevos1_co_1000hPa,fco2gpp_flux,cape_geop_conv,surf_geop_z,geop_z_1000hPa
6.8,36.6,30.970728,122.47975,67.779999,10.17986,16.118219,8.2,150.0,376.16263,20.80061489316436,oceanic crust,140.4215741031662,sedznpb,579.7271886844708,27.100792119635404,2.0,Desconocido,8.16,0.19,-15.2,0.3345331201870684,Metamorphics,422.82440185546875,0.0006701330421492457,1.353737388853915e-07,5.481221587722018e-10,136.34524536132812,3594.542236328125,1905.0472412109375
7.7,35.2,42.667603,41.267841,94.389999,9.7527771,15.452439,8.075,150.0,1095.8218,16.72047601837412,orogenic belt,52.253251803823474,phosphate,510.20531484883605,10.761385941532222,2.0,Metales Base,1.49,0.19,-15.2,0.1478199541687823,Unconsolidated sediments,422.47552490234375,0.0006595883751288056,1.2687841888237017e-07,0.0,54.58631134033203,10762.5400390625,1965.0830078125
-68.60000000000002,-30.7,24.811405,-21.517843,56.869999,12.383333,12.073459,5.8,150.0,878.02557,59.36751513020813,wide rift,39.915104666728,sedznpb,330.3706483845076,7.921104504006971,3.0,Desconocido,1.33,0.22,-13.0,0.4443138716639424,Mixed sedimentary rocks,424.5709228515625,0.0006443213205784559,9.83216636996076e-08,0.0,68.60118865966797,9576.5380859375,596.1840209960938
-66.80000000000001,-22.6,42.818375,-302.80035,101.52,3.0020833,61.396751,7.0,150.0,4759.6948,282.5427640788172,orogenic belt,29.867045384503857,nicrpge,91.11342217807476,6.33144038920114,3.0,Desconocido,0.01,0.09,-12.5,0.2107899826376988,Intermediate volcanic rocks,423.457763671875,0.0006438663695007563,8.718420474451705e-08,0.0,10.428571701049805,45528.5234375,1371.8447265625
-65.89999999999998,-34.8,31.836056,112.25237,72.110001,9.9375,20.532991,8.5,100.0,411.52911,201.5318562627073,accretionary complex,103.68255639209602,nicrpge,412.24457057067406,43.88713313000197,2.0,Metales Preciosos,4.02,0.28,-10.9,0.0481052545952078,Unconsolidated sediments,424.672607421875,0.0006433785310946405,1.0155386576116143e-07,0.0,107.35416412353516,3998.542724609375,810.1550903320312
-65.60000000000002,-27.6,30.716471,37.850189,74.040001,12.147917,26.115093,6.4,150.0,374.08664,82.0899913390124,wide rift,72.55208473917706,porcu,255.5742757972525,21.252602528330502,3.0,Metales Base,13.44,0.22,-13.0,0.3254047653228044,Metamorphics,425.537109375,0.0006506356876343489,1.5947435372254404e-07,0.0,257.327392578125,3152.54150390625,711.0367431640625
-64.89999999999998,-30.9,25.196775,102.66937,53.549999,9.7833338,57.299107,8.8,100.0,784.76849,29.494560465232738,wide rift,103.18821735062664,nicrpge,557.128809907807,23.155469785197702,2.0,Metales Preciosos,7.92,0.01,-14.1,0.1764245814588417,Unconsolidated sediments,424.9447937011719,0.0006430600769817829,1.279777848139929e-07,0.0,181.5357208251953,7442.5390625,847.1015014648438
-63.19999999999999,-22.6,27.816013,102.57021,62.73,13.742361,49.9636,7.5,150.0,293.72726,76.47784169258692,shield,205.8826425418152,sedcu,398.0692765084993,82.08150936986088,3.0,Minerales Industriales,29.7,0.22,-13.0,0.0912320855580049,Unconsolidated sediments,426.9026794433594,0.0006680719670839608,1.579325470402182e-07,0.0,227.92559814453125,2928.541015625,593.3179321289062
-63.10000000000002,-31.4,30.38588,149.13229,68.559998,10.898611,46.621231,7.2,150.0,159.07741,84.83820522747703,wide rift,140.8918024584639,ree,728.400678699086,140.68429051137386,3.0,Desconocido,6.47,0.12,-16.5,0.0198088523065282,Unconsolidated sediments,424.58599853515625,0.0006497532594949007,1.3430192780106154e-07,0.0,93.01786041259766,1554.539794921875,855.3046875
-62.80000000000001,-29.6,31.098219,154.66716,71.800003,11.528473,49.989803,7.55,150.0,80.73011,73.28966185572212,wide rift,292.8423196875751,nicrpge,632.7600977063029,137.8681029032035,3.0,Desconocido,6.461538461538462,0.12,-16.5,0.0175067876850946,Siliciclastic sedimentary rocks,424.9654541015625,0.0006465240148827434,1.239795466290161e-07,0.0,140.51487731933594,774.54052734375,742.94970703125
